Day of Date,EW,Case
"September 3, 2016","EW 35, 2016",0
"September 2, 2016","EW 35, 2016",1
"September 1, 2016","EW 35, 2016",0
"September 10, 2016","EW 36, 2016",0
"September 9, 2016","EW 36, 2016",0
"September 8, 2016","EW 36, 2016",0
"September 7, 2016","EW 36, 2016",0
"September 6, 2016","EW 36, 2016",2
"September 5, 2016","EW 36, 2016",0
"September 4, 2016","EW 36, 2016",0
"September 17, 2016","EW 37, 2016",2
"September 16, 2016","EW 37, 2016",0
"September 15, 2016","EW 37, 2016",0
"September 14, 2016","EW 37, 2016",0
"September 13, 2016","EW 37, 2016",0
"September 12, 2016","EW 37, 2016",0
"September 11, 2016","EW 37, 2016",0
"September 24, 2016","EW 38, 2016",2
"September 23, 2016","EW 38, 2016",3
"September 22, 2016","EW 38, 2016",0
"September 21, 2016","EW 38, 2016",3
"September 20, 2016","EW 38, 2016",2
"September 19, 2016","EW 38, 2016",0
"September 18, 2016","EW 38, 2016",0
"October 1, 2016","EW 39, 2016",1
"September 30, 2016","EW 39, 2016",0
"September 29, 2016","EW 39, 2016",8
"September 28, 2016","EW 39, 2016",5
"September 27, 2016","EW 39, 2016",3
"September 26, 2016","EW 39, 2016",2
"September 25, 2016","EW 39, 2016",1
"October 8, 2016","EW 40, 2016",2
"October 7, 2016","EW 40, 2016",2
"October 6, 2016","EW 40, 2016",1
"October 5, 2016","EW 40, 2016",3
"October 4, 2016","EW 40, 2016",1
"October 3, 2016","EW 40, 2016",0
"October 2, 2016","EW 40, 2016",0
"October 15, 2016","EW 41, 2016",2
"October 14, 2016","EW 41, 2016",3
"October 13, 2016","EW 41, 2016",7
"October 12, 2016","EW 41, 2016",6
"October 11, 2016","EW 41, 2016",1
"October 10, 2016","EW 41, 2016",1
"October 9, 2016","EW 41, 2016",4
"October 22, 2016","EW 42, 2016",3
"October 21, 2016","EW 42, 2016",6
"October 20, 2016","EW 42, 2016",0
"October 19, 2016","EW 42, 2016",3
"October 18, 2016","EW 42, 2016",2
"October 17, 2016","EW 42, 2016",2
"October 16, 2016","EW 42, 2016",4
"October 29, 2016","EW 43, 2016",2
"October 28, 2016","EW 43, 2016",10
"October 27, 2016","EW 43, 2016",3
"October 26, 2016","EW 43, 2016",1
"October 25, 2016","EW 43, 2016",2
"October 24, 2016","EW 43, 2016",3
"October 23, 2016","EW 43, 2016",4
"November 5, 2016","EW 44, 2016",1
"November 4, 2016","EW 44, 2016",4
"November 3, 2016","EW 44, 2016",1
"November 2, 2016","EW 44, 2016",2
"November 1, 2016","EW 44, 2016",1
"October 31, 2016","EW 44, 2016",0
"October 30, 2016","EW 44, 2016",2
"November 6, 2016","EW 45, 2016",2
